18787        100   1426696909   1426731793   60.54 +-  2.01   62.53 +-  1.76   -1.03 +-  0.21   55.36 +-  2.24   58.16 +-  1.95   -0.57 +-  0.23
18788        100   1426737680   1426769515   61.19 +-  2.04   63.39 +-  1.80   -0.83 +-  0.22   58.26 +-  2.58   58.63 +-  2.28   -0.50 +-  0.27
18789        100   1426783151   1426814527   61.02 +-  2.09   67.90 +-  1.90   -1.25 +-  0.22   54.69 +-  2.29   56.39 +-  1.98   -0.32 +-  0.25
18790        100   1426822927   1426831072   64.49 +-  2.42   64.49 +-  2.42   -0.00 +-  0.00   58.30 +-  2.53   58.30 +-  2.53   -0.00 +-  0.00
18792        100   1426839782   1426886871   60.79 +-  1.84   65.60 +-  1.59   -0.87 +-  0.15   55.97 +-  1.83   61.53 +-  1.56   -0.52 +-  0.14
18793        100   1426892429   1426921896   62.36 +-  2.92   61.85 +-  2.50   -1.18 +-  0.39   56.96 +-  2.24   58.25 +-  1.91   -0.18 +-  0.27
18794        100   1426924795   1426933011   65.20 +-  2.27   63.70 +-  2.27   -0.00 +-  0.00   61.49 +-  2.29   60.72 +-  2.29   -0.00 +-  0.00
18795        100   1426939629   1426968912   60.56 +-  1.95   57.80 +-  1.61   -0.38 +-  0.25   56.24 +-  2.60   58.03 +-  2.33   -0.34 +-  0.28
18796        100   1426978025   1427008063   60.84 +-  2.43   62.42 +-  2.22   -0.59 +-  0.25   57.65 +-  2.33   59.28 +-  2.01   -0.29 +-  0.27
18797        100   1427013237   1427034757   61.45 +-  3.25   63.69 +-  3.13   -0.86 +-  0.36   61.64 +-  4.81   60.65 +-  4.65   -0.61 +-  0.51
18798        100   1427039710   1427043414   65.40 +-  2.19   63.90 +-  2.19   -0.00 +-  0.00   61.32 +-  2.19   60.55 +-  2.19   -0.00 +-  0.00
18800        100   1427060877   1427091241   59.43 +-  1.96   61.63 +-  1.70   -0.88 +-  0.23   58.64 +-  2.38   59.88 +-  2.05   -0.09 +-  0.26
18801        100   1427094998   1427125054   60.78 +-  1.99   58.90 +-  1.70   -0.27 +-  0.24   58.78 +-  2.09   60.87 +-  1.81   -0.26 +-  0.24
18803        100   1427139956   1427171626   55.60 +-  2.01   55.59 +-  1.77   -0.65 +-  0.22   55.58 +-  1.90   58.96 +-  1.64   -0.43 +-  0.21
18804        100   1427176294   1427205587   58.60 +-  1.91   61.40 +-  1.67   -0.43 +-  0.22   55.83 +-  2.29   58.70 +-  2.00   -0.42 +-  0.26
18805        100   1427212903   1427242564   55.33 +-  1.95   55.96 +-  1.74   -1.11 +-  0.23   53.92 +-  2.08   56.15 +-  1.79   -0.50 +-  0.25
18806        100   1427246967   1427248118   63.11 +-  2.12   61.67 +-  2.12   -0.00 +-  0.00   60.74 +-  2.15   59.98 +-  2.15   -0.00 +-  0.00
18807        100   1427252335   1427284257   59.53 +-  2.02   60.64 +-  1.80   -0.80 +-  0.21   56.15 +-  2.63   58.54 +-  2.33   -0.38 +-  0.26
18815        100   1427349689   1427361760   59.57 +-  3.04   59.43 +-  2.86   -1.47 +-  0.70   52.25 +-  3.08   53.80 +-  2.74   -0.12 +-  0.78
18816        100   1427367241   1427396418   56.17 +-  2.04   59.77 +-  1.80   -0.71 +-  0.24   55.54 +-  2.32   55.10 +-  2.00   -0.44 +-  0.28
18817        100   1427399556   1427399989   57.28 +-  2.05   57.28 +-  2.05   -0.00 +-  0.00   55.62 +-  2.88   55.62 +-  2.88   -0.00 +-  0.00
18818        100   1427403856   1427416150   56.74 +-  2.57   65.44 +-  2.40   -1.65 +-  0.62   54.62 +-  2.89   53.45 +-  2.60   -0.88 +-  0.72
18819        100   1427419677   1427449110   56.15 +-  1.80   58.31 +-  1.59   -0.93 +-  0.21   55.15 +-  1.95   58.47 +-  1.67   -0.82 +-  0.24
18820        100   1427452286   1427486889   57.67 +-  1.98   57.99 +-  1.73   -0.84 +-  0.21   51.13 +-  2.46   55.28 +-  2.08   -0.28 +-  0.25
18827        100   1427510620   1427539768   59.64 +-  2.01   61.73 +-  1.77   -0.38 +-  0.22   53.51 +-  2.59   54.42 +-  2.18   -0.42 +-  0.32
18828        100   1427543044   1427572885   55.65 +-  2.19   55.03 +-  1.98   -0.57 +-  0.24   50.12 +-  2.85   48.89 +-  2.39    0.25 +-  0.34
18829        100   1427577689   1427607451   58.19 +-  2.04   56.62 +-  1.84   -0.79 +-  0.22   55.40 +-  2.43   55.58 +-  2.07   -0.52 +-  0.29
18833        100   1427618967   1427619226   64.91 +-  2.49   64.91 +-  2.49   -0.00 +-  0.00   56.62 +-  3.31   56.62 +-  3.31   -0.00 +-  0.00
